iter	RMSE
0	1.175246577
1	1.170535431
2	1.163363248
3	1.160313405
4	1.141323144
5	1.138981961
6	1.135092018
7	1.131747932
8	1.118760258
9	1.114306494
10	1.103672664
11	1.092684073
12	1.091127582
13	1.070615211
14	1.061758564
15	1.056904712
16	1.056063604
17	1.053129178
18	1.036759148
19	1.034825293
20	1.032039381
21	1.022416225
22	1.02114874
23	1.017630696
24	1.008335065
25	1.006575894
26	0.9964768395
27	0.987836452
28	0.9834596482
29	0.9758636105
30	0.9673809793
31	0.9572659927
32	0.9457605529
33	0.9450469322
34	0.9435685076
35	0.9392182383
36	0.9380031684
37	0.936262281
38	0.9352807559
39	0.9297137394
40	0.9213443209
41	0.9173873314
42	0.917013287
43	0.9156188138
44	0.9138916134
45	0.909051153
46	0.9060287464
47	0.9027798313
48	0.9022105767
49	0.9016867112
50	0.8997150991
51	0.8987121839
52	0.8972093735
53	0.89620992
54	0.8949477878
55	0.8925121694
56	0.8906011505
57	0.8875425217
58	0.8836952099
59	0.8793822701
60	0.8791721438
61	0.8777475272
62	0.8742741322
63	0.8729219002
64	0.870668789
65	0.8618964921
66	0.8610597082
67	0.86050444
68	0.857896946
69	0.8539823209
70	0.8504353108
71	0.8472137425
72	0.8436842622
73	0.8416420943
74	0.8364170547
75	0.8338923178
76	0.8317313042
77	0.8284775446
78	0.8253443514
79	0.8218497242
80	0.8146236732
81	0.813081836
82	0.8095636821
83	0.8068847037
84	0.8021633777
85	0.7952692279
86	0.7876204549
87	0.7804395363
88	0.7771452082
89	0.7731650067
90	0.7672133936
91	0.7611517549
92	0.7559793655
93	0.7465457259
94	0.7441831825
95	0.7382461189
96	0.7310853421
97	0.7233672055
98	0.715426492
99	0.7031458554
100	0.6905839504
101	0.6851801756
102	0.6805415705
103	0.6699570009
104	0.6637754938
105	0.6531859557
106	0.6407152669
107	0.630868127
108	0.620561375
109	0.610879911
110	0.6023577269
111	0.5936880256
112	0.5824489559
113	0.5750088774
114	0.5692332938
115	0.5593383172
116	0.5498123971
117	0.5404781681
118	0.5311582995
119	0.5207883961
120	0.514324153
121	0.5085165861
122	0.5013265934
123	0.4936583392
124	0.4860216295
125	0.4794948814
126	0.4744364571
127	0.4683296606
128	0.4622191122
129	0.4562650826
130	0.4510561537
131	0.4461826969
132	0.4401384488
133	0.4345751363
134	0.4287969681
135	0.4238365367
136	0.4190597495
137	0.414600825
138	0.4101237835
139	0.4058461488
140	0.4011699488
141	0.3968687184
142	0.3928556708
143	0.3901007754
144	0.3868885246
145	0.3825874053
146	0.3788563627
147	0.3757844673
148	0.3718342707
149	0.3685548573
150	0.3638164956
151	0.3599364055
152	0.3579451405
153	0.3545942837
154	0.3517893276
155	0.3496253421
156	0.3466627473
157	0.3433237848
158	0.3411934122
159	0.3392985309
160	0.3375257139
161	0.3345657567
162	0.3323244503
163	0.3287358273
164	0.3264740543
165	0.3235014065
166	0.3200173793
167	0.3176574378
168	0.3163993322
169	0.3136595184
170	0.3117818286
171	0.3094762341
172	0.3075959397
173	0.3048763628
174	0.3031151148
175	0.3010785167
176	0.2991093733
177	0.2967315202
178	0.2945529465
179	0.2929660117
180	0.2897646944
181	0.2883105524
182	0.2869011594
183	0.2855564851
184	0.2821264944
185	0.279989115
186	0.2780185831
187	0.275970472
188	0.2733138584
189	0.2712075716
190	0.2699908133
191	0.268493658
192	0.2661273576
193	0.2647965287
194	0.2621915013
195	0.2613372543
196	0.2599879086
197	0.2575649789
198	0.2551154271
199	0.2531046093
200	0.2510282146
201	0.2486616973
202	0.2473164915
203	0.2455347491
204	0.2440258439
205	0.2416593398
206	0.24090822
207	0.2388170754
208	0.2374048539
209	0.2355027983
210	0.2338351561
211	0.232975465
212	0.2308974983
213	0.2295415401
214	0.2273145596
215	0.2260883148
216	0.2250696925
217	0.2242401978
218	0.2233289578
219	0.221735933
220	0.2206798248
221	0.2188100537
222	0.2177447091
223	0.2165647224
224	0.2150756499
225	0.2145650154
226	0.2141322648
227	0.2136713728
228	0.2124926767
229	0.2112333032
230	0.2093159997
231	0.2090227066
232	0.2082902509
233	0.2068274027
234	0.2052916239
235	0.2043082166
236	0.2031998591
237	0.2018834329
238	0.2012401841
239	0.20081015
240	0.2000281303
241	0.1988553013
242	0.1979631125
243	0.197062872
244	0.1956551398
245	0.1948458958
246	0.1933679114
247	0.1924056711
248	0.1911693439
249	0.190866705
250	0.189631072
251	0.1883657505
252	0.1879772194
253	0.1870809003
254	0.1861612898
255	0.1857458695
256	0.1846702169
257	0.1843188967
258	0.1836946639
259	0.1828126915
260	0.182235883
261	0.1814591697
262	0.180923392
263	0.1800749862
264	0.1797960452
265	0.1788724095
266	0.1782325742
267	0.1780749595
268	0.177404064
269	0.1770265109
270	0.1764848878
271	0.1757614854
272	0.175368506
273	0.1746355831
274	0.1739055934
275	0.1735412381
276	0.1728292936
277	0.1721193762
278	0.1710051635
279	0.1707170433
280	0.1703628653
281	0.1695993119
282	0.169294555
283	0.1688691861
284	0.1684869867
285	0.1676295727
286	0.1669129306
287	0.1663211038
288	0.1660701594
289	0.1657329172
290	0.1652266294
291	0.1643127345
292	0.1634192534
293	0.1631408716
294	0.1626647783
295	0.1619207162
296	0.1610264759
297	0.1606931161
