iter	RMSE
298	0.1604246594
299	0.1598611723
300	0.1592133046
301	0.1586889009
302	0.1582326855
303	0.1576474675
304	0.1573607973
305	0.1570961623
306	0.1567178136
307	0.1561492138
308	0.1556524808
309	0.1553728528
310	0.1549044976
311	0.1545505143
312	0.1540106534
313	0.1532950192
314	0.1526928388
315	0.1522423086
316	0.1517165059
317	0.1513282223
318	0.1509556757
319	0.1507821342
320	0.1505048813
321	0.1502329955
322	0.1497380885
323	0.1494217703
324	0.1492054119
325	0.1488909015
326	0.1485165328
327	0.1481042113
328	0.1479774654
329	0.147796245
330	0.1476079171
331	0.1472576683
332	0.1468802801
333	0.1467666673
334	0.1465821292
335	0.1464480126
336	0.1462063727
337	0.1457914629
338	0.1455990076
339	0.1454201879
340	0.1451154336
341	0.1449532654
342	0.1444952721
343	0.1443903409
344	0.1440632473
345	0.143785771
346	0.1436918366
347	0.1435595057
348	0.1431581646
349	0.1430954198
350	0.1426631949
351	0.1423633801
352	0.1420213436
353	0.1416574087
354	0.1414416026
355	0.1413155451
356	0.1410795793
357	0.1408634147
358	0.1406554862
359	0.1403967017
360	0.1402884084
361	0.1400155462
362	0.1398585069
363	0.1397001756
364	0.1394766174
365	0.1393072714
366	0.1392098702
367	0.1391036246
368	0.1389838872
369	0.1388468855
370	0.1385402517
371	0.1381760798
372	0.1380930292
373	0.1380005318
374	0.1377529717
375	0.1376121359
376	0.1373532867
377	0.1372307516
378	0.1369903122
379	0.1368307752
380	0.1367595533
381	0.1367118384
382	0.1364955135
383	0.1362892517
384	0.1360917589
385	0.1359572486
386	0.135875444
387	0.1356725963
388	0.1355011425
389	0.1352709534
390	0.1352381421
391	0.1350385857
392	0.1348211025
393	0.1345718525
394	0.1344372603
395	0.1342397246
396	0.1341627606
397	0.1340238228
398	0.1338814568
399	0.1336565832
400	0.1333869903
401	0.1332413801
402	0.1330461713
403	0.1329687143
404	0.1328171445
405	0.1327730652
406	0.1327040361
407	0.132528282
408	0.1323423409
409	0.1322204855
410	0.1320887794
411	0.1319124119
412	0.1318711738
413	0.1318364093
414	0.1317476661
415	0.1316595364
416	0.1315270975
417	0.1314251411
418	0.1312651766
419	0.1311748403
420	0.130947241
421	0.1308191454
422	0.1306860441
423	0.1305507185
424	0.1305132474
425	0.1303734323
426	0.1302846433
427	0.1301145781
428	0.1300492429
429	0.1299537926
430	0.1298226252
431	0.1296948536
432	0.129615727
433	0.1295809947
434	0.1294696184
435	0.1294371404
436	0.1293116041
437	0.1292748726
438	0.1291205766
439	0.1289722641
440	0.128911626
441	0.1288298017
442	0.128757298
443	0.1286171493
444	0.1285407172
445	0.1285175055
446	0.1284796584
447	0.128350121
448	0.1283239462
449	0.1282692921
450	0.1281977229
451	0.128097729
452	0.1280781803
453	0.1279725197
454	0.1279106957
455	0.1278332069
456	0.1277320812
457	0.1276655427
458	0.1275977257
459	0.1275216669
460	0.1274259429
461	0.1272977243
462	0.1271932225
463	0.1271454102
464	0.1270906422
465	0.1270262752
466	0.1269559868
467	0.126849819
468	0.1267680915
469	0.1267118961
470	0.1266322211
471	0.1265838833
472	0.1265428759
473	0.1264582992
474	0.1264009132
475	0.1263068702
476	0.1262497808
477	0.1261569878
478	0.1261068716
479	0.1260330999
480	0.1260034713
481	0.1259592461
482	0.125906866
483	0.1258689033
484	0.1258213131
485	0.1257445488
486	0.1257188494
487	0.1256688912
488	0.1256085251
489	0.1255645209
490	0.1255150461
491	0.1254527568
492	0.1253895552
493	0.1253230074
494	0.1253137763
495	0.1252631833
496	0.1252328142
497	0.125191844
498	0.1251619846
499	0.1250835294
500	0.1250381755
501	0.1250039383
502	0.1249586482
503	0.1249144928
504	0.1248567788
505	0.1247970653
506	0.1247721196
507	0.1247274233
